offset,entropy_bits_per_byte
0x006a0000,7.997387
0x006b0000,7.997207
0x006c0000,7.997078
0x006d0000,7.997121
0x006e0000,7.997246
0x006f0000,7.997111
0x00700000,7.997384
0x00710000,7.997445
0x00720000,7.997223
0x00730000,7.997215
0x00740000,7.997190
0x00750000,7.997374
0x00760000,7.996949
0x00770000,7.996795
0x00780000,7.997163
0x00790000,7.997123
0x007a0000,7.996960
0x007b0000,7.997135
0x007c0000,7.996955
0x007d0000,7.996675
0x007e0000,7.997287
0x007f0000,7.996778
0x00800000,7.997194
0x00810000,7.997463
0x00820000,7.996814
0x00830000,7.997490
0x00840000,7.997177
0x00850000,7.997514
0x00860000,7.997291
0x00870000,7.997112
0x00880000,7.996775
0x00890000,7.997054
0x008a0000,7.997209
0x008b0000,7.997172
0x008c0000,7.997151
0x008d0000,7.996797
0x008e0000,7.997625
0x008f0000,7.997302
0x00900000,1.000000
0x00910000,1.000000
0x00920000,1.000000
0x00930000,1.118000
0x00940000,1.121585
0x00950000,1.000000
0x00960000,1.000000
0x00970000,1.000000
0x00980000,1.000000
0x00990000,1.000000
0x009a0000,1.000000
0x009b0000,1.118000
0x009c0000,1.121585
0x009d0000,1.000000
0x009e0000,1.000000
0x009f0000,1.000000
0x00a00000,1.000000
0x00a10000,1.000000
0x00a20000,1.000000
0x00a30000,1.118000
0x00a40000,1.121585
0x00a50000,1.000000
0x00a60000,1.000000
0x00a70000,1.000000
0x00a80000,7.997338
0x00a90000,7.997290
0x00aa0000,7.997214
0x00ab0000,7.997210
0x00ac0000,7.996899
0x00ad0000,7.997197
0x00ae0000,7.996980
0x00af0000,7.997115
0x00b00000,7.996426
0x00b10000,7.997453
0x00b20000,7.996945
0x00b30000,7.997175
0x00b40000,7.996765
0x00b50000,7.997196
0x00b60000,7.997754
0x00b70000,7.996973
0x00b80000,7.996960
0x00b90000,7.996575
0x00ba0000,7.997023
0x00bb0000,7.996611
0x00bc0000,7.997252
0x00bd0000,7.997255
0x00be0000,7.996922
0x00bf0000,7.996592
0x00c00000,7.997446
0x00c10000,7.997175
0x00c20000,7.996869
0x00c30000,7.997435
0x00c40000,7.996762
0x00c50000,7.997391
0x00c60000,7.997246
0x00c70000,7.997193
0x00c80000,7.997244
0x00c90000,7.997069
0x00ca0000,7.997303
0x00cb0000,7.997155
0x00cc0000,7.997842
0x00cd0000,7.997064
0x00ce0000,7.997061
0x00cf0000,7.997253
0x00d00000,7.996811
0x00d10000,7.997136
0x00d20000,7.997130
0x00d30000,7.997167
0x00d40000,7.997346
0x00d50000,7.997451
0x00d60000,7.996978
0x00d70000,7.997268
0x00d80000,7.997135
0x00d90000,7.997098
0x00da0000,7.997122
0x00db0000,7.997278
0x00dc0000,7.996784
0x00dd0000,7.996889
0x00de0000,7.996991
0x00df0000,7.997319
0x00e00000,7.996968
0x00e10000,7.997372
0x00e20000,7.997057
0x00e30000,7.997328
0x00e40000,7.997288
0x00e50000,7.997195
0x00e60000,7.996986
0x00e70000,7.997250
0x00e80000,7.997283
0x00e90000,7.997564
0x00ea0000,7.996985
0x00eb0000,7.997468
0x00ec0000,7.997308
0x00ed0000,7.997404
0x00ee0000,7.997080
0x00ef0000,7.997652
0x00f00000,7.996758
0x00f10000,7.997529
0x00f20000,7.997444
0x00f30000,7.996976
0x00f40000,7.997381
0x00f50000,7.997125
0x00f60000,7.997262
0x00f70000,7.996988
0x00f80000,7.997288
0x00f90000,7.996914
0x00fa0000,7.997164
0x00fb0000,7.996949
0x00fc0000,7.997548
0x00fd0000,7.997527
0x00fe0000,7.997032
0x00ff0000,7.996660
0x01000000,7.997167
0x01010000,7.997068
0x01020000,7.997194
0x01030000,7.997366
0x01040000,7.996643
0x01050000,7.997301
0x01060000,7.997631
0x01070000,7.997075
0x01080000,7.997449
0x01090000,7.997047
0x010a0000,7.997194
0x010b0000,7.997426
0x010c0000,7.997312
0x010d0000,7.997330
0x010e0000,7.997601
0x010f0000,7.997212
0x01100000,7.997444
0x01110000,7.997056
0x01120000,7.997338
0x01130000,7.997261
0x01140000,7.997359
0x01150000,7.997584
0x01160000,7.996970
0x01170000,7.997128
0x01180000,7.997159
0x01190000,7.996418
0x011a0000,7.997381
0x011b0000,7.996568
0x011c0000,7.996982
0x011d0000,7.996853
0x011e0000,7.997328
0x011f0000,7.997366
0x01200000,7.996724
0x01210000,7.997187
0x01220000,7.997401
0x01230000,7.997343
0x01240000,7.997221
0x01250000,7.997136
0x01260000,7.997038
0x01270000,7.996831
0x01280000,7.997517
0x01290000,7.997262
0x012a0000,7.996803
0x012b0000,7.997457
0x012c0000,7.997144
0x012d0000,7.997402
0x012e0000,7.997095
0x012f0000,7.997420
0x01300000,7.997390
0x01310000,7.997209
0x01320000,7.997150
0x01330000,7.996581
0x01340000,7.997232
0x01350000,7.996764
0x01360000,7.996970
0x01370000,7.997469
0x01380000,7.997324
0x01390000,7.996832
0x013a0000,7.996773
0x013b0000,7.997336
0x013c0000,7.997334
0x013d0000,7.997107
0x013e0000,7.997395
0x013f0000,7.997313
0x01400000,7.997375
0x01410000,7.997269
0x01420000,7.997231
0x01430000,7.997100
0x01440000,7.997204
0x01450000,7.997169
0x01460000,7.997357
0x01470000,7.997238
0x01480000,7.997408
0x01490000,7.996656
0x014a0000,7.997027
0x014b0000,7.997555
0x014c0000,7.997516
0x014d0000,7.997302
0x014e0000,7.997359
0x014f0000,7.996710
0x01500000,7.997280
0x01510000,7.997413
0x01520000,7.997368
0x01530000,7.997007
0x01540000,7.997264
0x01550000,7.996967
0x01560000,7.997351
0x01570000,7.997559
0x01580000,7.997244
0x01590000,7.997021
0x015a0000,7.997123
0x015b0000,7.997095
0x015c0000,7.997471
0x015d0000,7.997693
0x015e0000,7.996968
0x015f0000,7.996624
0x01600000,7.997158
0x01610000,7.997019
0x01620000,7.997576
0x01630000,7.996903
0x01640000,7.997414
0x01650000,7.996907
0x01660000,7.996868
0x01670000,7.997310
0x01680000,7.996961
0x01690000,7.996885
0x016a0000,7.997392
0x016b0000,7.997101
0x016c0000,7.997301
0x016d0000,7.997179
0x016e0000,7.997124
0x016f0000,7.996912
0x01700000,7.997195
0x01710000,7.997519
0x01720000,7.997341
0x01730000,7.997064
0x01740000,7.997051
0x01750000,7.997186
0x01760000,7.997089
0x01770000,7.997260
0x01780000,7.996857
0x01790000,7.997318
0x017a0000,7.997396
0x017b0000,7.997277
0x017c0000,7.996885
0x017d0000,7.997373
0x017e0000,7.997447
0x017f0000,7.997540
0x01800000,7.997004
0x01810000,7.997601
0x01820000,7.997129
0x01830000,7.996858
0x01840000,7.997199
0x01850000,7.997594
0x01860000,7.997408
0x01870000,7.997444
0x01880000,7.997221
0x01890000,7.996991
0x018a0000,7.997223
0x018b0000,7.997126
0x018c0000,7.997193
0x018d0000,7.997358
0x018e0000,7.997186
0x018f0000,7.997199
0x01900000,7.997005
0x01910000,7.997040
0x01920000,7.997301
0x01930000,7.997092
0x01940000,7.996813
0x01950000,7.997006
0x01960000,7.996836
0x01970000,7.997164
0x01980000,7.997433
0x01990000,7.997332
0x019a0000,7.997504
0x019b0000,7.997328
0x019c0000,7.997358
0x019d0000,7.996954
0x019e0000,7.997120
0x019f0000,7.997172
0x01a00000,7.997233
0x01a10000,7.996874
0x01a20000,7.997154
0x01a30000,7.997285
0x01a40000,7.997541
0x01a50000,7.997278
0x01a60000,7.997128
0x01a70000,7.997431
0x01a80000,7.997150
0x01a90000,7.997060
0x01aa0000,7.997213
0x01ab0000,7.997523
0x01ac0000,7.997235
0x01ad0000,7.997099
0x01ae0000,7.997062
0x01af0000,7.997208
0x01b00000,7.996969
0x01b10000,7.997000
0x01b20000,7.997572
0x01b30000,7.997197
0x01b40000,7.997396
0x01b50000,7.997362
0x01b60000,7.997461
0x01b70000,7.997471
0x01b80000,7.997085
0x01b90000,7.997393
0x01ba0000,7.997316
0x01bb0000,7.996908
0x01bc0000,7.997379
0x01bd0000,7.996272
0x01be0000,7.997605
0x01bf0000,7.997509
0x01c00000,7.997552
0x01c10000,7.997122
0x01c20000,7.997536
0x01c30000,7.996961
0x01c40000,7.997315
0x01c50000,7.997293
0x01c60000,7.997386
0x01c70000,7.997015
0x01c80000,7.997119
0x01c90000,7.997058
0x01ca0000,7.997201
0x01cb0000,7.997207
0x01cc0000,7.996985
0x01cd0000,7.996979
0x01ce0000,7.996752
0x01cf0000,7.997125
0x01d00000,7.997270
0x01d10000,7.997041
0x01d20000,7.997190
0x01d30000,7.997244
0x01d40000,7.997198
0x01d50000,7.997267
0x01d60000,7.997180
0x01d70000,7.996807
0x01d80000,7.997114
0x01d90000,7.996928
0x01da0000,7.996887
0x01db0000,7.996626
0x01dc0000,7.996780
0x01dd0000,7.997315
0x01de0000,7.997390
0x01df0000,7.996767
0x01e00000,7.996959
0x01e10000,7.997478
0x01e20000,7.997229
0x01e30000,7.997113
0x01e40000,7.997118
0x01e50000,7.997116
0x01e60000,7.996699
0x01e70000,7.997059
0x01e80000,7.997381
0x01e90000,7.997405
0x01ea0000,7.997304
0x01eb0000,7.996932
0x01ec0000,7.996954
0x01ed0000,7.997492
0x01ee0000,7.997311
0x01ef0000,7.997097
0x01f00000,7.996978
0x01f10000,7.996840
0x01f20000,7.997023
0x01f30000,7.997496
0x01f40000,7.997514
0x01f50000,7.997456
0x01f60000,7.997421
0x01f70000,7.997377
0x01f80000,7.997345
0x01f90000,7.996960
0x01fa0000,7.996858
0x01fb0000,7.997401
0x01fc0000,7.997291
0x01fd0000,7.996995
0x01fe0000,7.997766
0x01ff0000,7.997133
